GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Jun 02 23:09:46 IST 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
224	173	7	1	4.6525721258522E10	86.25	0.6	1.0875	5.5375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
225	173	8	1	4.65107006691992E10	87.5	0.6	1.0625	5.5375	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
226	173	9	1	4.65119232064863E10	85.0	0.6	1.0625	5.5375	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
227	173	10	1	4.66899045478176E10	86.25	0.6375	1.0625	5.5375	0.2	Cost not reduced at wwr_height1+dwwr_height1.
228	173	11	1	4.65277381619928E10	86.25	0.6	1.075	5.5375	0.2	Cost not reduced at depth+ddepth.
229	173	12	1	4.65125534617572E10	86.25	0.6	1.05	5.5375	0.2	Cost not reduced at depth-ddepth.
230	173	13	1	4.65104261948956E10	86.25	0.6	1.0625	5.55	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
230	173	14	1	4.65104261948956E10	86.25	0.6	1.0625	5.55	0.2	Local search reduced cost.
231	174	1	1	4.65106478546118E10	86.25	0.6	1.0625	5.5625	0.2	Exploration base, Delta = 0.125.
232	174	2	1	4.65111888318621E10	87.5	0.6	1.0625	5.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
233	174	3	1	4.65117079120462E10	85.0	0.6	1.0625	5.5625	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
234	174	4	1	4.66902840793276E10	86.25	0.6375	1.0625	5.5625	0.2	Cost not reduced at wwr_height1+dwwr_height1.
235	174	5	1	4.65279985402263E10	86.25	0.6	1.075	5.5625	0.2	Cost not reduced at depth+ddepth.
236	174	6	1	4.65127236945708E10	86.25	0.6	1.05	5.5625	0.2	Cost not reduced at depth-ddepth.
237	174	7	1	4.6511011354671E10	86.25	0.6	1.0625	5.575	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
237	174	8	1	4.65104261948956E10	86.25	0.6	1.0625	5.55	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
238	174	9	1	4.6511153202685E10	87.5	0.6	1.0625	5.55	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
239	174	10	1	4.65117948834754E10	85.0	0.6	1.0625	5.55	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
240	174	11	1	4.6690044153601E10	86.25	0.6375	1.0625	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
240	174	12	1	4.65277251082793E10	86.25	0.6	1.075	5.55	0.2	Cost not reduced at depth+ddepth.
241	174	13	1	4.65124995252538E10	86.25	0.6	1.05	5.55	0.2	Cost not reduced at depth-ddepth.
241	174	14	1	4.65104874069325E10	86.25	0.6	1.0625	5.5375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
241	174	15	1	4.65106478546118E10	86.25	0.6	1.0625	5.5625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
230	174	16	1	4.65104261948956E10	86.25	0.6	1.0625	5.55	0.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
241	175	1	1	4.65104261948956E10	86.25	0.6	1.0625	5.55	0.2	Exploration base, Delta = 0.0625.
242	175	2	1	4.65103730877818E10	86.875	0.6	1.0625	5.55	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
243	175	3	1	4.65967636902439E10	86.875	0.61875	1.0625	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
244	175	4	1	4.65093443124492E10	86.875	0.6	1.06875	5.55	0.2	Cost reduced     at depth+ddepth.
245	175	5	1	4.65095062720338E10	86.875	0.6	1.06875	5.54375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
246	175	6	1	4.65099502414513E10	86.875	0.6	1.06875	5.55625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
244	175	7	1	4.65093443124492E10	86.875	0.6	1.06875	5.55	0.2	Global search reduced cost.
246	176	1	1	4.65283558750438E10	87.5	0.6	1.075	5.55	0.2	Exploration base, Delta = 0.0625.
247	176	2	1	4.65287783187331E10	88.125	0.6	1.075	5.55	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
248	176	3	1	4.65275418664143E10	86.875	0.6	1.075	5.55	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
249	176	4	1	4.65946873933548E10	86.875	0.61875	1.075	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
250	176	5	1	4.65266739636577E10	86.875	0.6	1.08125	5.55	0.2	Cost reduced     at depth+ddepth.
251	176	6	1	4.65266783153797E10	86.875	0.6	1.08125	5.54375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
252	176	7	1	4.65271625997481E10	86.875	0.6	1.08125	5.55625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
253	176	8	1	4.65095050964239E10	86.25	0.6	1.06875	5.55	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
254	176	9	1	4.65101340868135E10	87.5	0.6	1.06875	5.55	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
255	176	10	1	4.65957076973067E10	86.875	0.61875	1.06875	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
255	176	11	1	4.65275418664143E10	86.875	0.6	1.075	5.55	0.2	Cost not reduced at depth+ddepth.
255	176	12	1	4.65103730877818E10	86.875	0.6	1.0625	5.55	0.2	Cost not reduced at depth-ddepth.
255	176	13	1	4.65095062720338E10	86.875	0.6	1.06875	5.54375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
255	176	14	1	4.65099502414513E10	86.875	0.6	1.06875	5.55625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
244	176	15	1	4.65093443124492E10	86.875	0.6	1.06875	5.55	0.2	Iteration step did not reduce cost. Maximum number of step reductions reached.
244	176	16	1	4.65093443124492E10	86.875	0.6	1.06875	5.55	0.2	Minimum point.
